__time,terminal,flight,arrivals,departures
2006-05-31T23:00:00.000Z,Tom Bradley International Terminal,International,413444,419807
2006-06-30T23:00:00.000Z,Imperial Terminal,Domestic,89,88
2006-06-30T23:00:00.000Z,Misc. Terminal,Domestic,5,8
2006-06-30T23:00:00.000Z,Misc. Terminal,International,4,0
2006-06-30T23:00:00.000Z,Terminal 1,Domestic,469516,468038
2006-06-30T23:00:00.000Z,Terminal 1,International,0,784
2006-06-30T23:00:00.000Z,Terminal 2,Domestic,120213,121663
2006-06-30T23:00:00.000Z,Terminal 2,International,191247,188679
2006-06-30T23:00:00.000Z,Terminal 3,Domestic,181198,185292
2006-06-30T23:00:00.000Z,Terminal 3,International,25029,56763
2006-06-30T23:00:00.000Z,Terminal 4,Domestic,460367,456673
2006-06-30T23:00:00.000Z,Terminal 4,International,64509,55251
2006-06-30T23:00:00.000Z,Terminal 5,Domestic,196803,195215
2006-06-30T23:00:00.000Z,Terminal 5,International,36064,44069
2006-06-30T23:00:00.000Z,Terminal 6,Domestic,269170,266116
2006-06-30T23:00:00.000Z,Terminal 6,International,13247,9219
2006-06-30T23:00:00.000Z,Terminal 7,Domestic,305257,303306
2006-06-30T23:00:00.000Z,Terminal 7,International,38300,49922
2006-06-30T23:00:00.000Z,Terminal 8,Domestic,117910,116863
2006-06-30T23:00:00.000Z,Tom Bradley International Terminal,Domestic,2581,210
2006-06-30T23:00:00.000Z,Tom Bradley International Terminal,International,500009,410046
2006-07-31T23:00:00.000Z,Imperial Terminal,Domestic,5,238
2006-07-31T23:00:00.000Z,Terminal 1,Domestic,456601,466636
2006-07-31T23:00:00.000Z,Terminal 1,International,0,694
2006-07-31T23:00:00.000Z,Terminal 2,Domestic,115441,117633
2006-07-31T23:00:00.000Z,Terminal 2,International,192850,184788
2006-07-31T23:00:00.000Z,Terminal 3,Domestic,187002,189894
2006-07-31T23:00:00.000Z,Terminal 3,International,26357,57395
2006-07-31T23:00:00.000Z,Terminal 4,Domestic,437457,444030
2006-07-31T23:00:00.000Z,Terminal 4,International,60667,48169
2006-07-31T23:00:00.000Z,Terminal 5,Domestic,184823,188285
2006-07-31T23:00:00.000Z,Terminal 5,International,36361,39815
2006-07-31T23:00:00.000Z,Terminal 6,Domestic,249077,264371
2006-07-31T23:00:00.000Z,Terminal 6,International,9858,7255
2006-07-31T23:00:00.000Z,Terminal 7,Domestic,297564,301232
2006-07-31T23:00:00.000Z,Terminal 7,International,30644,48459
2006-07-31T23:00:00.000Z,Terminal 8,Domestic,111537,114106
2006-07-31T23:00:00.000Z,Tom Bradley International Terminal,Domestic,2560,0
2006-07-31T23:00:00.000Z,Tom Bradley International Terminal,International,484661,388778
2006-08-31T23:00:00.000Z,Imperial Terminal,Domestic,111,211
2006-08-31T23:00:00.000Z,Misc. Terminal,Domestic,209,152
2006-08-31T23:00:00.000Z,Terminal 1,Domestic,382011,376874
2006-08-31T23:00:00.000Z,Terminal 1,International,0,114
2006-08-31T23:00:00.000Z,Terminal 2,Domestic,95225,93291
2006-08-31T23:00:00.000Z,Terminal 2,International,161321,160693
2006-08-31T23:00:00.000Z,Terminal 3,Domestic,147121,140018
2006-08-31T23:00:00.000Z,Terminal 3,International,19726,45354
