__time,name,nationality,sex,height,weight,sport,gold,silver,bronze
2016-01-01T00:00:00.000Z,Aisen Chen,CHN,male,168,60,aquatics,2,0,0
2016-01-01T00:00:00.000Z,Aisha Praught,JAM,female,162,50,athletics,0,0,0
2016-01-01T00:00:00.000Z,Aislin Jones,AUS,female,157,51,shooting,0,0,0
2016-01-01T00:00:00.000Z,Aisuluu Tynybekova,KGZ,female,170,58,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Aitor Martinez Rodriguez,ESP,male,183,78,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Aivi Luik,AUS,female,163,58,football,0,0,0
2016-01-01T00:00:00.000Z,Ajee Wilson,USA,female,173,61,athletics,0,0,0
2016-01-01T00:00:00.000Z,Ajla del Ponte,SUI,female,168,56,athletics,0,0,0
2016-01-01T00:00:00.000Z,Ajna Kesely,HUN,female,165,54,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Akalani Baravilala,USA,female,168,74,rugby sevens,0,0,0
2016-01-01T00:00:00.000Z,Akane Kuroki,JPN,female,165,50,equestrian,0,0,0
2016-01-01T00:00:00.000Z,Akane Shibata,JPN,female,153,50,hockey,0,0,0
2016-01-01T00:00:00.000Z,Akane Yamaguchi,JPN,female,156,55,badminton,0,0,0
2016-01-01T00:00:00.000Z,Akani Simbine,RSA,male,176,74,athletics,0,0,0
2016-01-01T00:00:00.000Z,Akashdeep Singh,IND,male,178,70,hockey,0,0,0
2016-01-01T00:00:00.000Z,Akeem Haynes,CAN,male,168,71,athletics,0,0,1
2016-01-01T00:00:00.000Z,Akela Jones,BAR,female,186,77,athletics,0,0,0
2016-01-01T00:00:00.000Z,Aki Mitsuhashi,JPN,female,166,59,hockey,0,0,0
2016-01-01T00:00:00.000Z,Aki Yazawa,JPN,female,156,50,canoe,0,0,0
2016-01-01T00:00:00.000Z,Akihiko Nakamura,JPN,male,180,73,athletics,0,0,0
2016-01-01T00:00:00.000Z,Akiko Sato,JPN,female,162,58,shooting,0,0,0
2016-01-01T00:00:00.000Z,Akira Ioane,NZL,male,194,113,rugby sevens,0,0,0
2016-01-01T00:00:00.000Z,Akira Yanase,JPN,male,191,95,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Akossiwa Claire Ayivon,TOG,female,0,0,rowing,0,0,0
2016-01-01T00:00:00.000Z,Akua Obeng-Akrofi,GHA,female,0,0,athletics,0,0,0
2016-01-01T00:00:00.000Z,Alaa Ali,IRQ,male,178,68,football,0,0,0
2016-01-01T00:00:00.000Z,Alaaeldin Abouelkassem,EGY,male,188,87,fencing,0,0,0
2016-01-01T00:00:00.000Z,Alade Aminu,NGR,male,210,102,basketball,0,0,0
2016-01-01T00:00:00.000Z,Alain Sign,GBR,male,181,84,sailing,0,0,0
2016-01-01T00:00:00.000Z,Alan Campbell,GBR,male,191,96,rowing,0,0,0
2016-01-01T00:00:00.000Z,Alan Hatherly,RSA,male,178,62,cycling,0,0,0
2016-01-01T00:00:00.000Z,Alan Sinclair,GBR,male,192,96,rowing,0,0,0
2016-01-01T00:00:00.000Z,Alan Sothern,IRL,male,178,76,hockey,0,0,0
2016-01-01T00:00:00.000Z,Alana Barber,NZL,female,163,52,athletics,0,0,0
2016-01-01T00:00:00.000Z,Alana Boyd,AUS,female,171,59,athletics,0,0,0
2016-01-01T00:00:00.000Z,Alanna Kennedy,AUS,female,176,63,football,0,0,0
2016-01-01T00:00:00.000Z,Alastair Brogdon,GBR,male,183,76,hockey,0,0,0
2016-01-01T00:00:00.000Z,Alba Torrens,ESP,female,191,68,basketball,0,1,0
2016-01-01T00:00:00.000Z,Albachir Mouctar,NIG,male,178,76,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Albane Valenzuela,SUI,female,174,58,golf,0,0,0
2016-01-01T00:00:00.000Z,Albert Espanol Lifante,ESP,male,189,86,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Albert Gaun,RUS,male,185,80,taekwondo,0,0,0
2016-01-01T00:00:00.000Z,Albert Hermoso Farras,ESP,male,168,65,equestrian,0,0,0
2016-01-01T00:00:00.000Z,Albert Kibichii Rop,BRN,male,177,63,athletics,0,0,0
2016-01-01T00:00:00.000Z,Albert Puig Garrich,ESP,male,184,78,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Albert Ramon Ramirez,VEN,male,182,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Albert Ramos-Vinolas,ESP,male,188,80,tennis,0,0,0
2016-01-01T00:00:00.000Z,Albert Saritov,ROU,male,188,100,wrestling,0,0,1
2016-01-01T00:00:00.000Z,Albert Selimov,AZE,male,171,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Albert Subirats,VEN,male,190,85,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Alberth Bravo,VEN,male,199,88,athletics,0,0,0
2016-01-01T00:00:00.000Z,Alberth Elis,HON,male,184,77,football,0,0,0
2016-01-01T00:00:00.000Z,Albertina Cruz Kassoma,ANG,female,192,105,handball,0,0,0
2016-01-01T00:00:00.000Z,Alberto Alvarez,MEX,male,191,78,athletics,0,0,0
2016-01-01T00:00:00.000Z,Alberto Ezequiel Melian,ARG,male,170,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Alberto Fernandez,ESP,male,180,115,shooting,0,0,0
2016-01-01T00:00:00.000Z,Alberto Ignacio Palmetta,ARG,male,175,0,boxing,0,0,0
